"","taxa","myc"
"232","Leucocroton_moncadae","AM"
"233","Leucocroton_revolutus","AM"
"234","Leucocroton_havanensis","AM"
"235","Leucocroton_saxicola","AM"
"236","Leucocroton_anomalus","AM"
"237","Leucocroton_stenophyllus","AM"
"238","Leucocroton_acunae","AM"
"239","Leucocroton_pachyphyllus","AM"
"240","Leucocroton_pallidus","AM"
"241","Leucocroton_comosus","AM"
"242","Leucocroton_sameki","AM"
"243","Leucocroton_ekmanii","AM"
"244","Leucocroton_pachyphylloides","AM"
"245","Leucocroton_wrightii","AM"
"246","Leucocroton_flavicans","AM"
"247","Leucocroton_virens","AM"
"248","Garciadelia_castilloae","AM"
"249","Garciadelia_abbottii","AM"
"250","Garciadelia_mejiae","AM"
"251","Adelia_membranifolia","AM"
"252","Adelia_triloba","AM"
"253","Adelia_ricinella","AM"
"254","Adelia_barbinervis","AM"
"255","Adelia_oaxacana","AM"
"256","Adelia_brandegeei","AM"
"257","Adelia_obovata","AM"
"258","Adelia_vaseyi","AM"
"259","Adelia_cinerea","AM"
"260","Crotonogynopsis_usambarica","AM"
"261","Romanoa_tamnoides","AM"
"262","Plukenetia_polyadenia","AM"
"263","Plukenetia_stipellata","AM"
"264","Plukenetia_lehmanniana","AM"
"265","Plukenetia_volubilis","AM"
"266","Plukenetia_penninervia","AM"
"267","Plukenetia_loretensis","AM"
"268","Plukenetia_brachybotrya","AM"
"269","Plukenetia_corniculata","AM"
"270","Plukenetia_ankaranensis","AM"
"271","Plukenetia_madagascariensis","AM"
"272","Plukenetia_conophora","AM"
"273","Astrococcus_cornutus","AM"
"274","Dalechampia_spathulata","AM"
"275","Dalechampia_magnoliifolia","AM"
"276","Dalechampia_cuyabensis","AM"
"277","Dalechampia_schottii","AM"
"278","Dalechampia_dioscoreifolia","AM"
"279","Dalechampia_hutchisoniana","AM"
"280","Dalechampia_aristolochiifolia","AM"
"281","Dalechampia_papillistigma","AM"
"282","Dalechampia_juruana","AM"
"283","Dalechampia_websteri","AM"
"284","Dalechampia_canescens","AM"
"285","Dalechampia_megacarpa","AM"
"286","Dalechampia_olympiana","AM"
"287","Dalechampia_peckoltiana","AM"
"288","Dalechampia_luetzelburgii","AM"
"289","Dalechampia_pentaphylla","AM"
"290","Dalechampia_hastata","AM"
"291","Dalechampia_liesneri","AM"
"292","Dalechampia_fragrans","AM"
"293","Dalechampia_parvibracteata","AM"
"294","Dalechampia_heterobractea","AM"
"295","Dalechampia_attenuistylis","AM"
"296","Dalechampia_micrantha","AM"
"297","Dalechampia_scandens","AM"
"298","Dalechampia_pernambucensis","AM"
"299","Dalechampia_brevicolumna","AM"
"300","Dalechampia_magnistipulata","AM"
"301","Dalechampia_arenalensis","AM"
"302","Dalechampia_schippii","AM"
"303","Dalechampia_armbrusteri","AM"
"304","Dalechampia_coriacea","AM"
"305","Dalechampia_brownsbergensis","AM"
"306","Dalechampia_viridissima","AM"
"307","Dalechampia_ficifolia","AM"
"308","Dalechampia_convolvuloides","AM"
"309","Dalechampia_tiliifolia","AM"
"310","Dalechampia_affinis","AM"
"311","Dalechampia_ipomoeifolia","AM"
"312","Dalechampia_galpinii","AM"
"313","Dalechampia_volubilis","AM"
"314","Dalechampia_trifoliata","AM"
"315","Dalechampia_chlorocephala","AM"
"316","Dalechampia_decaryi","AM"
"317","Dalechampia_tamifolia","AM"
"318","Dalechampia_subternata","AM"
"319","Dalechampia_clematidifolia","AM"
"320","Dalechampia_parvifolia","AM"
"321","Dalechampia_elongata","AM"
"322","Dalechampia_bidentata","AM"
"323","Dalechampia_stipulacea","AM"
"324","Dalechampia_triphylla","AM"
"325","Dalechampia_heteromorpha","AM"
"326","Dalechampia_denticulata","AM"
"327","Dalechampia_cissifolia","AM"
"328","Dalechampia_caperonioides","AM"
"329","Dalechampia_humilis","AM"
"330","Tragiella_friesiana","AM"
"331","Tragiella_natalensis","AM"
"332","Tragiella_anomala","AM"
"333","Tragia_plukenetii","AM"
"334","Tragia_hildebrandtii","AM"
"335","Tragia_novae-hollandiae","AM"
"336","Tragia_arnhemica","AM"
"337","Tragia_finalis","AM"
"338","Tragia_smallii","AM"
"339","Tragia_urens","AM"
"340","Tragia_brevispica","AM"
"341","Tragia_glanduligera","AM"
"342","Tragia_cordata","AM"
"343","Tragia_pacifica","AM"
"344","Tragia_chlorocaulon","AM"
"345","Tragia_yucatanensis","AM"
"346","Tragia_saxicola","AM"
"347","Tragia_mexicana","AM"
"348","Tragia_paxii","AM"
"349","Tragia_bahiensis","AM"
"350","Tragia_amblyodonta","AM"
"351","Tragia_jonesii","AM"
"352","Tragia_polyandra","AM"
"353","Tragia_uberabana","AM"
"354","Tragia_melochioides","AM"
"355","Tragia_pinnata","AM"
"356","Tragia_geraniifolia","AM"
"357","Tragia_nepetifolia","AM"
"358","Tragia_ramosa","AM"
"359","Tragia_betonicifolia","AM"
"360","Tragia_urticifolia","AM"
"361","Tragia_cubensis","AM"
"362","Tragia_giardelliae","AM"
"363","Tragia_volubilis","AM"
"364","Tragia_subsessilis","AM"
"365","Tragia_furialis","AM"
"366","Tragia_minor","AM"
"367","Tragia_okanyua","AM"
"368","Tragia_dioica","AM"
"369","Tragia_rupestris","AM"
"370","Tragia_durbanensis","AM"
"371","Tragia_rogersii","AM"
"372","Tragia_benthamii","AM"
"373","Tragia_brevipes","AM"
"374","Tragia_pungens","AM"
"375","Tragia_cocculifolia","AM"
"376","Tragia_petiolaris","AM"
"377","Tragia_spathulata","AM"
"378","Tragia_laminularis","AM"
"379","Tragia_tenuifolia","AM"
"380","Tragia_preussii","AM"
"381","Acidoton_urens","AM"
"382","Acidoton_microphyllus","AM"
"383","Acidoton_variifolius","AM"
"384","Platygyna_leonis","AM"
"385","Platygyna_obovata","AM"
"386","Platygyna_parvifolia","AM"
"387","Platygyna_dentata","AM"
"388","Platygyna_hexandra","AM"
"389","Bia_alienata","AM"
"390","Bia_fendleri","AM"
"391","Sphaerostylis_perrieri","AM"
"392","Pachystylidium_hirsutum","AM"
"393","Zuckertia_cordata","AM"
"394","Gitara_nicaraguensis","AM"
"395","Cnesmone_laotica","AM"
"396","Cnesmone_philippinensis","AM"
"397","Cnesmone_javanica","AM"
"398","Haematostemon_guianensis","AM"
"399","Bernardia_dichotoma","AM"
"400","Bernardia_nicaraguensis","AM"
"401","Bernardia_tenuifolia","AM"
"402","Bernardia_mexicana","AM"
"403","Bernardia_incana","AM"
"404","Bernardia_dodecandra","AM"
"405","Bernardia_pulchella","AM"
"406","Bernardia_corensis","AM"
"407","Bernardia_laurentii","AM"
"408","Adenophaedra_grandifolia","AM"
"409","Discocleidion_rufescens","AM"
"410","Necepsia_afzelii","AM"
"411","Paranecepsia_alchorneifolia","AM"
"412","Afrotrewia_kamerunica","AM"
"413","Monotaxis_grandiflora","AM"
"414","Monotaxis_linifolia","AM"
"415","Cephalocroton_leucocephalus","AM"
"416","Cephalocroton_mollis","AM"
"417","Cephalocroton_cordofanus","AM"
"418","Koilodepas_bantamense","AM"
"419","Cephalomappa_malloticarpa","AM"
"420","Philyra_brasiliensis","AM"
"421","Chiropetalum_tricoccum","AM"
"422","Ditaxis_pringlei","AM"
"423","Ditaxis_manzanilloana","AM"
"424","Ditaxis_guatemalensis","AM"
"425","Ditaxis_argothamnoides","AM"
"426","Ditaxis_lanceolata","AM"
"427","Ditaxis_montevidensis","AM"
"428","Caperonia_palustris","AM"
"429","Caperonia_cubana","AM"
"430","Sumbaviopsis_albicans","AM"
"431","Melanolepis_multiglandulosa","AM"
"432","Speranskia_cantonensis","AM"
"433","Alchorneopsis_floribunda","AM"
"434","Discoglypremna_caloneura","AM"
"435","Aubletiana_macrostachys","AM"
"436","Conceveiba_martiana","AM"
"437","Conceveiba_maynasensis","AM"
"438","Conceveiba_guianensis","AM"
"439","Aparisthmium_cordatum","AM"
"440","Bocquillonia_goniorrhachis","AM"
"441","Alchornea_cordifolia","AM"
"442","Alchornea_latifolia","AM"
"443","Alchornea_tiliifolia","AM"
